model,persona,init_accuracy,count,fold_rate,fold_ci_lo,fold_ci_hi,n_fold,n_correct,admit_rate,hold_rate
gpt-4.1,none,0.525,80,0.07142857142857142,0.02459040987330592,0.1900942680115832,3,42,0.05,0.0125
gpt-4.1,shallow,0.55,80,0.2727272727272727,0.16346381623843376,0.418488730924512,12,44,0.0375,0.0625
gpt-4.1,demographic,0.55,80,0.13636363636363635,0.06402954497555871,0.2670945304851545,6,44,0.0625,0.0625
gpt-4.1,constitutional,0.575,80,0.13043478260869565,0.06117840362035114,0.25665857779073004,6,46,0.0125,0.525
gpt-4.1,belief,0.5375,80,0.18604651162790697,0.09741751428996223,0.3261700365727439,8,43,0.025,0.1875
gpt-4.1-mini,none,0.5125,80,0.21951219512195122,0.12003174778217565,0.3670500598822617,9,41,0.0,0.0375
gpt-4.1-mini,shallow,0.5875,80,0.2553191489361702,0.152531540350547,0.3950817553041746,12,47,0.0625,0.0625
gpt-4.1-mini,demographic,0.625,80,0.16,0.08337420678033405,0.2851421606303499,8,50,0.0125,0.025
gpt-4.1-mini,constitutional,0.6125,80,0.1836734693877551,0.09976341062070306,0.31357602602899876,9,49,0.0,0.325
gpt-4.1-mini,belief,0.5625,80,0.13333333333333333,0.06257148747568075,0.2617730182617707,6,45,0.0,0.2125
