model,persona,cos_mean,cos_sd,markers_mean,markers_sd,n
gpt-4.1,none,0.13808424887474485,0.04766321322660872,0.25,0.4638856253622455,80
gpt-4.1,shallow,0.13725727050283404,0.04828745016655707,0.3,0.461148813126632,80
gpt-4.1,demographic,0.15023422774016895,0.048166456914199345,0.35,0.4799789024899355,80
gpt-4.1,constitutional,0.1686584006972519,0.05327399269660557,0.7375,0.5452615212742217,80
gpt-4.1,belief,0.22780899530097326,0.07172489693053935,1.8,0.7859526187928518,80
gpt-4.1-mini,none,0.14279567935352963,0.04536818491720323,0.175,0.3823643964146893,80
gpt-4.1-mini,shallow,0.13525175980557264,0.04158839182951545,0.2625,0.4704899143378855,80
gpt-4.1-mini,demographic,0.13195076871266503,0.042253324402023146,0.225,0.44933143021295,80
gpt-4.1-mini,constitutional,0.13831362522533652,0.05159864450003769,0.4375,0.5239516356074252,80
gpt-4.1-mini,belief,0.22303237681450055,0.07300350862226737,1.6125,0.6057477855897085,80
